nums,auc
1,0.6288150567573356
2,0.6436670057828228
3,0.6446709680873849
4,0.6474017455557934
5,0.646016277575498
6,0.6454406725208823
7,0.6400995930606126
8,0.6396243842364532
9,0.6366058042407368
10,0.637857410580424
11,0.6375963803812379
12,0.63941020561148
13,0.6392830370529021
14,0.6380782822874277
15,0.6375562218890555
16,0.6375294495609338
17,0.6374558256585992
18,0.6374290533304775
19,0.6374424394945384
20,0.47977015956307567
21,0.4673042942814307
22,0.4673042942814307
23,0.4673042942814307
24,0.4673042942814307
25,0.4673042942814307
26,0.4673042942814307
27,0.4673042942814307
28,0.4673042942814307
29,0.4673042942814307
30,0.4673042942814307
31,0.4673042942814307
32,0.4673042942814307
33,0.4673042942814307
34,0.4673042942814307
35,0.4673042942814307
36,0.4673042942814307
37,0.4673042942814307
38,0.4673042942814307
39,0.4673042942814307
4,0.6474017455557934
best_roc_auc_score,0.701167273506104
best_rmse,0.3352930608607788
best_pls_r2,0.10765860872970501
